Category ID number,Course full name,peserta,Course URL
582,Tata Kencantikan LKP IMMA,2,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2209
97,kursus baru,2,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=419
BT02-2026,Semarang 40,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2208
BT02-2026,Semarang 23,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2191
BT02-2026,Semarang 24,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2192
BT02-2026,Semarang 25,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2193
BT02-2026,Semarang 26,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2194
BT02-2026,Semarang 27,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2195
BT02-2026,Semarang 28,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2196
BT02-2026,Semarang 29,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2197
BT02-2026,Semarang 30,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2198
BT02-2026,Semarang 31,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2199
BT02-2026,Semarang 32,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2200
BT02-2026,Semarang 33,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2201
BT02-2026,Semarang 34,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2202
BT02-2026,Semarang 35,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2203
BT02-2026,Semarang 36,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2204
BT02-2026,Semarang 37,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2205
BT02-2026,Semarang 38,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2206
BT02-2026,Semarang 39,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2207
BT02-2026,Semarang 22,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2190
BT02-2026,Semarang 21,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2189
BT02-2026,Design Your Own Vibe – Kursus Jahit Daring dari Nol untuk Generasi Kreatif,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2184
BT02-2026,Semarang 19,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2187
BT02-2026,"Semarang 01,Teknik tata rias pengantin",1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2169
BT02-2026,Semarang 02,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2170
BT02-2026,.,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2171
BT02-2026,LKP SRI BUSANA KURSUS MENJAHIT,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2172
BT02-2026,Semarang 05,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2173
BT02-2026,Semarang 07.Roti Laris Manis: Belajar Baking Sekaligus Jualan,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2175
BT02-2026,"Semarang 08, LKP Karya Abadi Menjahit Blouse",1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2176
BT02-2026,Semarang 09,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2177
BT02-2026,Semarang 06 Kursus menjahit cepat,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2174
BT02-2026,Dasar-Dasar Mengemudi Mobil Manual dan Matic,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2179
BT02-2026,Tata Rias Pengantin,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2178
BT02-2026,"Semarang 17, tata rias pengantin",1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2185
BT02-2026,Semarang 20,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2188
BT02-2026,Semarang 15,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2183
BT02-2026,Semarang 18,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2186
BT02-2026,"Semarang 13, MEMBUAT BLUS WANITA",1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2181
BT02-2026,Semarang 12,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2180
BT02-2026,Menjahit Celana Kolor,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2182
BT03-2026,Tangerang 29,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2249
BT03-2026,Tangerang 23,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2243
BT03-2026,Tangerang 24,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2244
BT03-2026,Tangerang 25,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2245
BT03-2026,Tangerang 26,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2246
BT03-2026,Tangerang 27,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2247
BT03-2026,Tangerang 28,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2248
BT03-2026,Tangerang 30,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2250
BT03-2026,Tangerang 39,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2259
BT03-2026,Tangerang 32,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2252
BT03-2026,Tangerang 33,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2253
BT03-2026,Tangerang 34,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2254
BT03-2026,Tangerang 35,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2255
BT03-2026,Tangerang 36,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2256
BT03-2026,Tangerang 37,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2257
BT03-2026,Tangerang 38,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2258
BT03-2026,Tangerang 22,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2242
BT03-2026,Data Scientist (Pemula),1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2260
BT03-2026,Tangerang 31,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2251
BT03-2026,Tangerang 21,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2241
BT03-2026,Tangerang 18,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2238
BT03-2026,Tangerang 19,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2239
BT03-2026,Tangerang 01,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2221
BT03-2026,Tangerang 20,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2240
BT03-2026,Tangerang 03,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2223
BT03-2026,Tangerang 04,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2224
BT03-2026,Tangerang 05,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2225
BT03-2026,Tangerang 06,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2226
BT03-2026,Tangerang 07,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2227
BT03-2026,Tangerang 08,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2228
BT03-2026,Tangerang 02,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2222
BT03-2026,Tangerang 10,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2230
BT03-2026,Tangerang 11,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2231
BT03-2026,Tangerang 12,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2232
BT03-2026,Tangerang 13,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2233
BT03-2026,Tangerang 14,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2234
BT03-2026,Tangerang 15,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2235
BT03-2026,Tangerang 16,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2236
BT03-2026,Tangerang 17,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2237
BT03-2026,Tangerang 09,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2229
K0562310x,kursus baru,2,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=564
K9997366,kursus baru,2,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=498
P1-2025,Bina Teknologi,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1142
P1-2025,Excellent Course,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1143
P1-2025,Bandung 18,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1144
P1-2025,Bandung 19,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1145
P1-2025,Bandung 20,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1146
P1-2025,Bandung 25,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1151
P1-2025,Bandung 22,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1148
P1-2025,Bandung 23,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1149
P1-2025,Bandung 24,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1150
P1-2025,Bandung 15,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1141
P1-2025,Bandung 21,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1147
P1-2025,LKP SAMWA,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1140
P1-2025,Bandung 00,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1227
P1-2025,Bandung 12,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1138
