id,lkp_id,nama_kelas,link,peserta,lulusan,status,program_keterampilan
K-MOODLE-1238,LKP-b49619b6f6,LKP P4M Mataram,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1238,2,0,Sudah Berjalan,
K-MOODLE-675,LKP-b49619b6f6,Mahir Menggunakan Aplikasi CorelDraw,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=675,2,0,Sudah Berjalan,
K-MOODLE-682,LKP-e668500cfc,kursus baru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=682,1,0,Sudah Berjalan,
K-MOODLE-503,LKP-612a0f8a2e,ADMINISTRASI PERKANTORAN,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=503,3,0,Sudah Berjalan,
K-MOODLE-1048,LKP-d055eba05d,Bimbingan Belajar SKD CPNS - LKP ISQ School,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1048,1,0,Sudah Berjalan,
K-MOODLE-470,LKP-d055eba05d,Kursus Komputer (Microsoft Word),https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=470,3,0,Sudah Berjalan,
K-MOODLE-399,LKP-08f3454a8f,kursus baru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=399,2,0,Sudah Berjalan,
K-MOODLE-421,LKP-2ecf82d248,kursus baru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=421,2,0,Sudah Berjalan,
K-MOODLE-329,LKP-eea917f4c5,Kursus Komputer Aplikasi Perkantoran Level 3,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=329,2,0,Sudah Berjalan,
K-MOODLE-681,LKP-c3c9976d72,kursus baru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=681,2,0,Sudah Berjalan,
K-MOODLE-1520,LKP-4ee28ff3ce,Menjahit busana pria dan wanita LKP Modesty NIA,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1520,2,0,Sudah Berjalan,
K-MOODLE-489,LKP-18ff4f2b18,kursus baru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=489,2,0,Sudah Berjalan,
K-MOODLE-841,LKP-168c234bcb,LKP TRIYO,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=841,3,0,Sudah Berjalan,
