id,lkp_id,nama_kelas,link,peserta,lulusan,status
K-2145-1,LKP-a78dcc3915,Seni Tari Tradisional,,0,0,Materi Belum Lengkap
K-2145-2,LKP-a78dcc3915,Seni Tari Tradisional,,0,0,Materi Belum Lengkap
K-2147-0,LKP-139964afdd,kursus baru,,0,0,Materi Belum Lengkap
K-2147-1,LKP-139964afdd,kursus baru,,0,0,Materi Belum Lengkap
K-2147-2,LKP-139964afdd,kursus baru,,0,0,Materi Belum Lengkap
K-2149-0,LKP-e38ec3ac66,Merancang Desain Interior dengan AutoCAD,,0,0,Materi Belum Lengkap
K-2149-1,LKP-e38ec3ac66,Merancang Desain Interior dengan AutoCAD,,0,0,Materi Belum Lengkap
K-2149-2,LKP-e38ec3ac66,Merancang Desain Interior dengan AutoCAD,,0,0,Materi Belum Lengkap
K-2150-0,LKP-b12a5e1f4e,Tata Rias Pengantin,,0,0,Materi Lengkap - Belum Ada Peserta
K-2150-1,LKP-b12a5e1f4e,Tata Rias Pengantin,,0,0,Materi Lengkap - Belum Ada Peserta
K-2150-2,LKP-b12a5e1f4e,Tata Rias Pengantin,,0,0,Materi Lengkap - Belum Ada Peserta
K-2151-0,LKP-c828afd7b5,kursus baru,,0,0,Materi Belum Lengkap
K-2151-1,LKP-c828afd7b5,kursus baru,,0,0,Materi Belum Lengkap
K-2151-2,LKP-c828afd7b5,kursus baru,,0,0,Materi Belum Lengkap
K-2153-0,LKP-2e4fb1a72d,kursusbaru,,0,0,Materi Belum Lengkap
K-2153-1,LKP-2e4fb1a72d,kursusbaru,,0,0,Materi Belum Lengkap
K-2153-2,LKP-2e4fb1a72d,kursusbaru,,0,0,Materi Belum Lengkap
K-2155-0,LKP-d8d6f15b68,kursus baru,,0,0,Materi Belum Lengkap
K-2155-1,LKP-d8d6f15b68,kursus baru,,0,0,Materi Belum Lengkap
K-2155-2,LKP-d8d6f15b68,kursus baru,,0,0,Materi Belum Lengkap
K-2156-0,LKP-bc81174001,kursus baru,,0,0,Materi Belum Lengkap
K-2156-1,LKP-bc81174001,kursus baru,,0,0,Materi Belum Lengkap
K-2156-2,LKP-bc81174001,kursus baru,,0,0,Materi Belum Lengkap
K-2157-0,LKP-2669f4b4b6,kursus baru,,0,0,Materi Belum Lengkap
K-2157-1,LKP-2669f4b4b6,kursus baru,,0,0,Materi Belum Lengkap
K-2157-2,LKP-2669f4b4b6,kursus baru,,0,0,Materi Belum Lengkap
K-2158-0,LKP-a49695440e,kursus baru,,0,0,Materi Belum Lengkap
K-2158-1,LKP-a49695440e,kursus baru,,0,0,Materi Belum Lengkap
K-2158-2,LKP-a49695440e,kursus baru,,0,0,Materi Belum Lengkap
K-2161-0,LKP-0682bd39c9,kursus baru,,0,0,Materi Belum Lengkap
K-2161-1,LKP-0682bd39c9,kursus baru,,0,0,Materi Belum Lengkap
K-2161-2,LKP-0682bd39c9,kursus baru,,0,0,Materi Belum Lengkap
K-2162-0,LKP-19db432248,Lembaga Kursus dan Pelatihan Dhini,,0,0,Materi Belum Lengkap
K-2162-1,LKP-19db432248,Lembaga Kursus dan Pelatihan Dhini,,0,0,Materi Belum Lengkap
K-2162-2,LKP-19db432248,Lembaga Kursus dan Pelatihan Dhini,,0,0,Materi Belum Lengkap
K-2165-0,LKP-d4e44f433a,Tata Kecantikan Rambut Lev.II,,0,0,Materi Belum Lengkap
K-2165-1,LKP-d4e44f433a,Tata Kecantikan Rambut Lev.II,,0,0,Materi Belum Lengkap
K-2165-2,LKP-d4e44f433a,Tata Kecantikan Rambut Lev.II,,0,0,Materi Belum Lengkap
K-2167-0,LKP-c6feca00f8,kursus baru,,0,0,Materi Belum Lengkap
K-2167-1,LKP-c6feca00f8,kursus baru,,0,0,Materi Belum Lengkap
K-2167-2,LKP-c6feca00f8,kursus baru,,0,0,Materi Belum Lengkap
K-2168-0,LKP-d0476cbccd,kursus baru,,0,0,Materi Belum Lengkap
K-2168-1,LKP-d0476cbccd,kursus baru,,0,0,Materi Belum Lengkap
K-2168-2,LKP-d0476cbccd,kursus baru,,0,0,Materi Belum Lengkap
K-2173-0,LKP-268683c6c7,kursus baru,,0,0,Materi Belum Lengkap
K-2173-1,LKP-268683c6c7,kursus baru,,0,0,Materi Belum Lengkap
K-2173-2,LKP-268683c6c7,kursus baru,,0,0,Materi Belum Lengkap
K-2207-0,LKP-1f47c03a03,TATA RIAS KECANTIKAN,,2,0,Sudah Berjalan
K-2207-1,LKP-1f47c03a03,TATA RIAS KECANTIKAN,,2,0,Sudah Berjalan
K-2207-2,LKP-1f47c03a03,TATA RIAS KECANTIKAN,,2,0,Sudah Berjalan
K-2240-0,LKP-d5905f22ca,Pengembangan Perangkat Lunak Berbasis Website,,0,0,Materi Belum Lengkap
K-2240-1,LKP-d5905f22ca,Pengembangan Perangkat Lunak Berbasis Website,,0,0,Materi Belum Lengkap
K-2240-2,LKP-d5905f22ca,Pengembangan Perangkat Lunak Berbasis Website,,0,0,Materi Belum Lengkap
K-2301-0,LKP-385d9cab16,kursus baru,,0,0,Materi Belum Lengkap
K-2301-1,LKP-385d9cab16,kursus baru,,0,0,Materi Belum Lengkap
K-2301-2,LKP-385d9cab16,kursus baru,,0,0,Materi Belum Lengkap
K-2304-0,LKP-bb617dbb5b,Tata Rias Pengantin Sunda Siger,,0,0,Materi Lengkap - Belum Ada Peserta
K-2304-1,LKP-bb617dbb5b,Tata Rias Pengantin Sunda Siger,,0,0,Materi Lengkap - Belum Ada Peserta
K-2304-2,LKP-bb617dbb5b,Tata Rias Pengantin Sunda Siger,,0,0,Materi Lengkap - Belum Ada Peserta
K-2313-0,LKP-b6305a3a63,kursus baru,,0,0,Materi Belum Lengkap
K-2313-1,LKP-b6305a3a63,kursus baru,,0,0,Materi Belum Lengkap
K-2313-2,LKP-b6305a3a63,kursus baru,,0,0,Materi Belum Lengkap
K-2332-0,LKP-6770683196,Tata Rias Pengantin Muslim,,0,0,Materi Lengkap - Belum Ada Peserta
K-2332-1,LKP-6770683196,Tata Rias Pengantin Muslim,,0,0,Materi Lengkap - Belum Ada Peserta
K-2332-2,LKP-6770683196,Tata Rias Pengantin Muslim,,0,0,Materi Lengkap - Belum Ada Peserta
K-2355-0,LKP-a4aa40c01d,kursusbaru,,0,0,Materi Belum Lengkap
K-2355-1,LKP-a4aa40c01d,kursusbaru,,0,0,Materi Belum Lengkap
K-2355-2,LKP-a4aa40c01d,kursusbaru,,0,0,Materi Belum Lengkap
K-2369-0,LKP-e2c1fdf9cc,kursus baru,,0,0,Materi Belum Lengkap
K-2369-1,LKP-e2c1fdf9cc,kursus baru,,0,0,Materi Belum Lengkap
K-2369-2,LKP-e2c1fdf9cc,kursus baru,,0,0,Materi Belum Lengkap
K-2404-0,LKP-855658c670,kursusbaru,,0,0,Materi Belum Lengkap
K-2404-1,LKP-855658c670,kursusbaru,,0,0,Materi Belum Lengkap
K-2404-2,LKP-855658c670,kursusbaru,,0,0,Materi Belum Lengkap
K-2451-0,LKP-c6a7f2b3b9,kursus baru,,0,0,Materi Belum Lengkap
K-2451-1,LKP-c6a7f2b3b9,kursus baru,,0,0,Materi Belum Lengkap
