id,lkp_id,nama_kelas,link,peserta,lulusan,status
K-3130-1,LKP-7f25eaba78,kursusbaru,,0,0,Materi Belum Lengkap
K-3130-2,LKP-7f25eaba78,kursusbaru,,0,0,Materi Belum Lengkap
K-3133-0,LKP-f3a688aafe,APLIKASI PERKANTORAN PROFESIONAL,,0,0,Materi Belum Lengkap
K-3133-1,LKP-f3a688aafe,APLIKASI PERKANTORAN PROFESIONAL,,0,0,Materi Belum Lengkap
K-3133-2,LKP-f3a688aafe,APLIKASI PERKANTORAN PROFESIONAL,,0,0,Materi Belum Lengkap
K-3140-0,LKP-8ae515bd02,Kursus Komputer Microsoft Office,,0,0,Materi Belum Lengkap
K-3140-1,LKP-8ae515bd02,Kursus Komputer Microsoft Office,,0,0,Materi Belum Lengkap
K-3140-2,LKP-8ae515bd02,Kursus Komputer Microsoft Office,,0,0,Materi Belum Lengkap
K-3146-0,LKP-ee25190dba,PROFESIONAL OPERATOR KOMPUTER DENGAN MICROSOFT OFFICE,,21,0,Sudah Berjalan
K-3146-1,LKP-ee25190dba,PROFESIONAL OPERATOR KOMPUTER DENGAN MICROSOFT OFFICE,,21,0,Sudah Berjalan
K-3146-2,LKP-ee25190dba,PROFESIONAL OPERATOR KOMPUTER DENGAN MICROSOFT OFFICE,,21,0,Sudah Berjalan
K-3152-0,LKP-dbeedc5cfa,kursusbaru,,0,0,Materi Belum Lengkap
K-3152-1,LKP-dbeedc5cfa,kursusbaru,,0,0,Materi Belum Lengkap
K-3152-2,LKP-dbeedc5cfa,kursusbaru,,0,0,Materi Belum Lengkap
K-3157-0,LKP-dc12d08f0a,kursusbaru,,0,0,Materi Belum Lengkap
K-3157-1,LKP-dc12d08f0a,kursusbaru,,0,0,Materi Belum Lengkap
K-3157-2,LKP-dc12d08f0a,kursusbaru,,0,0,Materi Belum Lengkap
K-3159-0,LKP-c87f9e0ddd,Mengoperasikan Perangkat Lunak Pengolah Kata Microsoft Word,,2,0,Sudah Berjalan
K-3159-1,LKP-c87f9e0ddd,Mengoperasikan Perangkat Lunak Pengolah Kata Microsoft Word,,2,0,Sudah Berjalan
